country,meat_type,meat_produced
Croatia,"Meat, cattle",44200
Croatia,"Meat, chicken",48321
Croatia,"Meat, duck",59
Croatia,"Meat, goat",710
Croatia,"Meat, goose and guinea fowl",209
Croatia,"Meat, horse",1198
Croatia,"Meat, nes",120
Croatia,"Meat, pig",97151
Croatia,"Meat, sheep",5150
Croatia,"Meat, turkey",12370
Cuba,"Meat, cattle",88313
Cuba,"Meat, chicken",32930
Cuba,"Meat, goat",3530
Cuba,"Meat, horse",250
Cuba,"Meat, nes",
Cuba,"Meat, pig",235717
Cuba,"Meat, sheep",8761
Cyprus,"Meat, bird nes",218
Cyprus,"Meat, cattle",5110
Cyprus,"Meat, chicken",24927
Cyprus,"Meat, duck",0
Cyprus,"Meat, goat",2116
Cyprus,"Meat, pig",42289
Cyprus,"Meat, rabbit",658
Cyprus,"Meat, sheep",3139
Cyprus,"Meat, turkey",198
Czechia,"Meat, cattle",67714
Czechia,"Meat, chicken",154477
Czechia,"Meat, duck",6672
Czechia,"Meat, goat",252
Czechia,"Meat, goose and guinea fowl",470
Czechia,"Meat, horse",22
Czechia,"Meat, nes",
Czechia,"Meat, pig",220000
Czechia,"Meat, rabbit",39365
Czechia,"Meat, sheep",3549
Czechia,"Meat, turkey",1183
Democratic People's Republic of Korea,"Meat, cattle",21054
Democratic People's Republic of Korea,"Meat, chicken",29663
Democratic People's Republic of Korea,"Meat, duck",12951
Democratic People's Republic of Korea,"Meat, goat",14034
Democratic People's Republic of Korea,"Meat, pig",123775
Democratic People's Republic of Korea,"Meat, rabbit",154000
Democratic People's Republic of Korea,"Meat, sheep",1010
Democratic Republic of the Congo,"Meat, cattle",14337
Democratic Republic of the Congo,"Meat, chicken",10389
Democratic Republic of the Congo,"Meat, goat",17693
Democratic Republic of the Congo,"Meat, nes",76591
Democratic Republic of the Congo,"Meat, pig",24268
Democratic Republic of the Congo,"Meat, sheep",2845
Denmark,"Meat, cattle",124148
Denmark,"Meat, chicken",171184
Denmark,"Meat, duck",1486
Denmark,"Meat, goose and guinea fowl",40
Denmark,"Meat, horse",321
Denmark,"Meat, pig",1532387
Denmark,"Meat, sheep",1585
Denmark,"Meat, turkey",10
Djibouti,"Meat, camel",688
Djibouti,"Meat, cattle",6273
Djibouti,"Meat, goat",2313
Djibouti,"Meat, sheep",2212
Dominica,"Meat, cattle",560
Dominica,"Meat, chicken",360
Dominica,"Meat, goat",41
Dominica,"Meat, pig",424
Dominica,"Meat, sheep",25
Dominican Republic,"Meat, cattle",66473
Dominican Republic,"Meat, chicken",339110
Dominican Republic,"Meat, goat",907
Dominican Republic,"Meat, pig",76859
Dominican Republic,"Meat, sheep",890
Ecuador,"Meat, cattle",222090
Ecuador,"Meat, chicken",338000
Ecuador,"Meat, duck",507
Ecuador,"Meat, goat",480
Ecuador,"Meat, goose and guinea fowl",71
Ecuador,"Meat, nes",8990
Ecuador,"Meat, pig",218110
Ecuador,"Meat, rabbit",1050
Ecuador,"Meat, sheep",2972
Ecuador,"Meat, turkey",1495
Egypt,"Meat, bird nes",12402
Egypt,"Meat, buffalo",359954
Egypt,"Meat, camel",39606
Egypt,"Meat, cattle",456359
Egypt,"Meat, chicken",1010000
Egypt,"Meat, duck",64257
Egypt,"Meat, goat",53135
Egypt,"Meat, goose and guinea fowl",23858
Egypt,"Meat, nes",15153
Egypt,"Meat, pig",362
Egypt,"Meat, rabbit",56129
Egypt,"Meat, sheep",72296
Egypt,"Meat, turkey",19400
